video,channel
C7XaM2JEU98,UC9CjkhQp1jX8Hbtbg6OZ9dw
YdupVbFgPmA,UCp6NUFV9mSEK6RxUiEVymVg
I7tkWD8PZzg,UCp6NUFV9mSEK6RxUiEVymVg
99SQNVCmKQQ,UCp6NUFV9mSEK6RxUiEVymVg
MDnlVY0Z_Hc,UCp6NUFV9mSEK6RxUiEVymVg
BSg69nqB-RU,UCp6NUFV9mSEK6RxUiEVymVg
l94V-lRGw_k,UCp6NUFV9mSEK6RxUiEVymVg
zialx0c2l3U,UCp6NUFV9mSEK6RxUiEVymVg
_wpgkHiqRvk,UCOghGALkYmQpJxj65TyWpAw
zrPnt7fWZLg,UCp6NUFV9mSEK6RxUiEVymVg
5fElIMWee3g,UCOghGALkYmQpJxj65TyWpAw
0Vulod-xcSM,UCe9KurO7bRXqRGn0756FYfA
ti2e-KWmb_0,UCe9KurO7bRXqRGn0756FYfA
gbgQmY2UgI4,UC9CjkhQp1jX8Hbtbg6OZ9dw
jTt_yZaaYN0,UC9CjkhQp1jX8Hbtbg6OZ9dw
BWmSDx45lTY,UCp6NUFV9mSEK6RxUiEVymVg
XpqQl2Mn4ak,UCp6NUFV9mSEK6RxUiEVymVg
FLrd9sbTumc,UCG5LuxhUtax6wVhH1qPNxvA
6JmIvf1qPA8,UCG5LuxhUtax6wVhH1qPNxvA
mY1EX7IL-rw,UCG5LuxhUtax6wVhH1qPNxvA
2hAOH-efwoY,UCBwSCyzT3GukpVdUdxMjKYw
4tQWpxgFeig,UCp6NUFV9mSEK6RxUiEVymVg
X2AGu5N_SQE,UCp6NUFV9mSEK6RxUiEVymVg
TbE0x6v5EkY,UCOghGALkYmQpJxj65TyWpAw
RSzKb8Mb0GM,UCp6NUFV9mSEK6RxUiEVymVg
szBQU1ox7Lk,UCp6NUFV9mSEK6RxUiEVymVg
ph9AzRoeNBg,UCBwSCyzT3GukpVdUdxMjKYw
0bMYRWxzeVQ,UCG5LuxhUtax6wVhH1qPNxvA
Tq3_rX3Eg8I,UCp6NUFV9mSEK6RxUiEVymVg
OkL5oaLlz9s,UCp6NUFV9mSEK6RxUiEVymVg
qo2iMxEcV4c,UCp6NUFV9mSEK6RxUiEVymVg
kBaLfBgHPNg,UCp6NUFV9mSEK6RxUiEVymVg
mMbsMtM2Sxg,UCp6NUFV9mSEK6RxUiEVymVg
uZt_weC-dPE,UCp6NUFV9mSEK6RxUiEVymVg
pwHNMb2i7FQ,UCp6NUFV9mSEK6RxUiEVymVg
uftv5MVSkW4,UCp6NUFV9mSEK6RxUiEVymVg
_nSJYGEBYrg,UCBwSCyzT3GukpVdUdxMjKYw
A4-kCV1kU8w,UCp6NUFV9mSEK6RxUiEVymVg
0xZx5J7tm8Y,UCp6NUFV9mSEK6RxUiEVymVg
uBLr0obH25Q,UCp6NUFV9mSEK6RxUiEVymVg
0bknoLTU6TM,UCp6NUFV9mSEK6RxUiEVymVg
-TKBQwIJMVE,UCp6NUFV9mSEK6RxUiEVymVg
3The3Ki_o-U,UC9CjkhQp1jX8Hbtbg6OZ9dw
xaVoONUE_xk,UC9CjkhQp1jX8Hbtbg6OZ9dw
9tAXBvuyXJU,UC9CjkhQp1jX8Hbtbg6OZ9dw
O11SLufiIic,UC9CjkhQp1jX8Hbtbg6OZ9dw
5IZDzLhixHM,UC9CjkhQp1jX8Hbtbg6OZ9dw
tZjz1lbmulk,UC9CjkhQp1jX8Hbtbg6OZ9dw
VcPjOjPGa_g,UCp6NUFV9mSEK6RxUiEVymVg
zW7H97gnKjY,UCp6NUFV9mSEK6RxUiEVymVg
kNsZ6HEYW7c,UC9CjkhQp1jX8Hbtbg6OZ9dw
Wr1ujFGDDPI,
ME0rVRis4sM,UCp6NUFV9mSEK6RxUiEVymVg
pD_0FyQEwfQ,UCp6NUFV9mSEK6RxUiEVymVg
SJtRh1B0FxY,UCp6NUFV9mSEK6RxUiEVymVg
t9RFnfj_e_w,UCOghGALkYmQpJxj65TyWpAw
d423Yut_RD0,UCp6NUFV9mSEK6RxUiEVymVg
_SvoS-1qm9k,
P2XF0FWcv6w,UCp6NUFV9mSEK6RxUiEVymVg
I7vS-30rubA,UCBwSCyzT3GukpVdUdxMjKYw
lbA_WI5cmbc,UC9CjkhQp1jX8Hbtbg6OZ9dw
XSeqEHwHMAU,UCp6NUFV9mSEK6RxUiEVymVg
TQLC-O8bMZU,UCBwSCyzT3GukpVdUdxMjKYw
4kfH0RHrFV8,UCOghGALkYmQpJxj65TyWpAw
dIBHhfPhNA8,UCOghGALkYmQpJxj65TyWpAw
qEXE0quSlGQ,UCOghGALkYmQpJxj65TyWpAw
xJXIEq8y57Q,UCp6NUFV9mSEK6RxUiEVymVg
wj3xL0QKA2M,UCBwSCyzT3GukpVdUdxMjKYw
sioEjQDaJ6Y,UCBwSCyzT3GukpVdUdxMjKYw
tUmFwf2cOKU,UCBwSCyzT3GukpVdUdxMjKYw
dnYOAsHcmQ0,UCBwSCyzT3GukpVdUdxMjKYw
aHUVnGA0Too,UCBwSCyzT3GukpVdUdxMjKYw
qUmkGLXZMV0,UCBwSCyzT3GukpVdUdxMjKYw
x0Kh8mjEm3E,UCBwSCyzT3GukpVdUdxMjKYw
UNDIZ32ldqE,UCBwSCyzT3GukpVdUdxMjKYw
hZ0l1-gQPhU,UCp6NUFV9mSEK6RxUiEVymVg
9RtRwyWcoWY,UCBwSCyzT3GukpVdUdxMjKYw
Dnu-w5oe0j8,UCBwSCyzT3GukpVdUdxMjKYw
NXNs137Tmbg,UCBwSCyzT3GukpVdUdxMjKYw
53fcUAZ8Mhw,UCBwSCyzT3GukpVdUdxMjKYw
_RKPUJKnJR8,UCBwSCyzT3GukpVdUdxMjKYw
SaeLgRDIk2Y,UCBwSCyzT3GukpVdUdxMjKYw
M5wRdcrF5pA,UCBwSCyzT3GukpVdUdxMjKYw
1JS3ALBPbnk,UCBwSCyzT3GukpVdUdxMjKYw
_EXRiYZp3Qg,UCp6NUFV9mSEK6RxUiEVymVg
2QI6z3EesuM,UCp6NUFV9mSEK6RxUiEVymVg
8ltY312O4S8,UCp6NUFV9mSEK6RxUiEVymVg
LIgFGVvR5SM,UCp6NUFV9mSEK6RxUiEVymVg
tlWIiKJUIZ0,UCMdzdYJY7y12A367ycm-c4A
UJ-B1idAt_s,UCMdzdYJY7y12A367ycm-c4A
g3rYGa9QaJ4,UC9CjkhQp1jX8Hbtbg6OZ9dw
fLPM9tg5QQg,UCp6NUFV9mSEK6RxUiEVymVg
UkCUPklQZKQ,UCp6NUFV9mSEK6RxUiEVymVg
Ei2YYFUXB5o,UCp6NUFV9mSEK6RxUiEVymVg
GtuWz7UBdbE,UCp6NUFV9mSEK6RxUiEVymVg
daNoen1fV40,UCoyG8VyvB-XUxQl1mD3T3Gw
DCBLKqMTYoA,UCoyG8VyvB-XUxQl1mD3T3Gw
jU6G47IOkJI,UCoyG8VyvB-XUxQl1mD3T3Gw
536MQ6qZy4c,UCoyG8VyvB-XUxQl1mD3T3Gw
IJZVNzpekzk,UCp6NUFV9mSEK6RxUiEVymVg
KORSlxheDMM,UC9CjkhQp1jX8Hbtbg6OZ9dw
OFMwOJf2F-s,UCp6NUFV9mSEK6RxUiEVymVg
_EZT57dtWHM,UCp6NUFV9mSEK6RxUiEVymVg
b1kXvDscGvU,UCp6NUFV9mSEK6RxUiEVymVg
6L0is9gUowY,UCp6NUFV9mSEK6RxUiEVymVg
Yzvvu1kM0Fg,UCp6NUFV9mSEK6RxUiEVymVg
8ZRKfGpGeFo,UCp6NUFV9mSEK6RxUiEVymVg
7iCgHhCU-fc,UCp6NUFV9mSEK6RxUiEVymVg
KRWUhyGAoek,UCp6NUFV9mSEK6RxUiEVymVg
A0YoPxtTA-k,UCp6NUFV9mSEK6RxUiEVymVg
Ohefn16wbH0,UCp6NUFV9mSEK6RxUiEVymVg
7-iB_KhUaQg,UCp6NUFV9mSEK6RxUiEVymVg
ySe1jCSpb4I,UCp6NUFV9mSEK6RxUiEVymVg
183xs4Q3SAo,UCp6NUFV9mSEK6RxUiEVymVg
66j70yBaWfg,UCp6NUFV9mSEK6RxUiEVymVg
x6pSuFcavak,UCp6NUFV9mSEK6RxUiEVymVg
N8fxzeZh4Kc,UCp6NUFV9mSEK6RxUiEVymVg
Reigh1m3OJ4,UCp6NUFV9mSEK6RxUiEVymVg
oLgWYEeTGMQ,UCp6NUFV9mSEK6RxUiEVymVg
VzO6xV6t_SA,UCp6NUFV9mSEK6RxUiEVymVg
StwlPSepCew,UCp6NUFV9mSEK6RxUiEVymVg
QAPXx0uD1aE,UCE_2iqCm2eowadFiy2V8mUw
wP2RVcj7InU,UCE_2iqCm2eowadFiy2V8mUw
wtBY4Dhe8d4,UCp6NUFV9mSEK6RxUiEVymVg
lYpOTnqpw2s,UCp6NUFV9mSEK6RxUiEVymVg
OJOp0IiuGVk,UCp6NUFV9mSEK6RxUiEVymVg
1dNGNOQiQVk,UCj1LxybwM853cCvndtZmOkQ
Dzu2YnUILRo,UCj1LxybwM853cCvndtZmOkQ
HFBFcNWYnbQ,UCp6NUFV9mSEK6RxUiEVymVg
MUbpjNJjdmo,UCp6NUFV9mSEK6RxUiEVymVg
N_ySjyqzdQg,UCp6NUFV9mSEK6RxUiEVymVg
k0IdJo0MFHw,UCp6NUFV9mSEK6RxUiEVymVg
TfCgGpyVnCc,UCp6NUFV9mSEK6RxUiEVymVg
zKD7zOHzlCs,UCp6NUFV9mSEK6RxUiEVymVg
e7t7POq4R3Q,UCp6NUFV9mSEK6RxUiEVymVg
